labels,tokens,
OAG,@mumbai_chokari do ✌ delhi walo ko 😎 out krne me inke loudey lag gaye 😝 or madarchodo 😴 ko kashmir chahiye 😂 #pakistan #india #indvspak,
OAG,#AAPVictoryDay #ShutDownJNU I was AAP supporter....when kejri went to congi earlier to form govt...I pissed AAP out of my body in my toilet,
NAG,bwahahaha!!! #worldvsindia bring it on!!! #wewontgiveitback https://t.co/z9j5g39hqy #maukamauka #indvssa #indvspak #bleedblue #worldcup2015,
NAG,revenge #maukamauka | india #cwc2015 | #wontgiveitback | social message ad https://t.co/iroh2dw4rz #indvsuae,
NAG,#captains who won #indvspak wc clash: 1992: azharudin 1996: azharudin 1999: azharudin 2003: gnguly 2011: dhoni 2015: dhoni #wc15,
NAG,"in all 6 matches of wc, pak nvr made team india all-out! india made pak all-out 4 tyms in wc(1992,99,2011 &amp; 15)..! #indvspak #cantbeatindia",
OAG,JNU = Jihadi Naxal University #ShutDownJNU,
CAG,#ShutDownJNU : These anti indians have to be hounded out and punished.They are worse than Hafizs&Lakhvis.,
CAG,pakistan fan again disappointed. mauka mauka #indvsuae,
CAG,sixth down.. some sheikh from uae might buy perth now to stop the game #indvsuae,
NAG,#indvspak dhawan and kohi hit fifties to consolidate india.,
OAG,#ShutDownJNU @ABVPVoice what happen tomorrow is the day..I am with you.. Open the platform.. And go for hardcore fight,
NAG,shoib akhtar just got roasted by kapil dev and sanjay majrekar in commentary box #indvspak,
NAG,"- #sport_news; wicket! rg sharma (15) is out, c misbah-ul-haq b sohail khan, 34/1 #indvspak shafqat khan",
NAG,"me too""@brokencricket: i am eagerly waiting for star sports's next advertisement #indvsuae""",
NAG,ekk aur.... yayyyyyy kat lo bhencho #indvspak,
NAG,superrrrrr six by dhawan avan ini bouncer ball podavae kudadhu #indvspak #indwins,
NAG,@obimobiles answers of q1) since 1890 q2) 107 runs q3) swapnil patil #theobihattrick #contest #indvsuae http://t.co/solqeoriwa,
CAG,keeping in view #petrolpricehike @msdhoni decided to lose all matches against uae in future. #indvsuae,
NAG,misbah is middling it well aam. inime nee vayasuku vandha ena varlina ena. 😂 #indvspak #wontgiveitback #cwc15,
OAG,If govt fails to stop them thn our true citizen will taught a lesson Govt should take action against these anti national people #ShutDownJNU,
CAG,A terrorist outfit like JNU's flourishimg under the nose of d govt.Take strict action against anti nationals & #ShutDownJNU @BJPRajnathSingh,
NAG,aaj to jeetna hi tha... indiaaaaaa... indiaa #indvsuae,
NAG,"india bowling first, and bhuvi in for shami. #indvsuae go india",
OAG,Now afzal guru...!!! Next they will celebrate the death of kasab!!! #ShutDownJNU,
CAG,Yes nationalists should start a movement to #ShutdownJNU . It is a cancer in the heart of the nation. Should be eliminated. https:// twitter.com/DrGarekar/stat us/786919393217220608 …,
OAG,A simple solution: stop all the govt aids. Stop every single tax penny awarded to #JNU Let the motherfuckers pay it themselves. #shutdownjnu,
CAG,#ShutDownJNU modi Ji pls see the sentiment of India,
OAG,#ShutDownJNU enough is enough all these bloody idiots who r doing politics in d college campus shud b thrown out & action b taken,
OAG,"Jawaharlal Nehru whenever got chance he planned Barbadi of India -todays JNU traitors want to continue same Barbadi of India. #ShutDownJNU""",
NAG,Rahul Sonpimple on JNU Dalit-Bahujan Consciousness https:// youtu.be/FgyvWRg1tQs #StandWithJNU @standwithjnu @Shehla_Rashid @kanhaiyajnusu,
NAG,yo yo pakistan bye bye see you again in 2019 #जयहिन्द #indvspak http://t.co/lxmogdmb1v,
NAG,@sirjadeja aapde be to #indvspak मैच joisu ne..,
CAG,as soon as sanjay manjrekar comes i press mute 😁 #indvsuae,
CAG,"Why is @ndtv not covering the hunger strike at JNU? I can understand @TimesNow not doing it, but why aren't you? #StandWithJNU",
CAG,Why aren't you speaking for students sitting on hunger strike in JNU? They did not chant any slogans. #StandWithJNU https:// twitter.com/vikashkool/sta tus/730646654890721280 …,
NAG,"proud of aap mla, auth in sanskrit. http://t.co/lwrikuavmf @aamaadmiparty #themodibudget #cwc15 #indvsuae",
NAG,Stand with jnu #standwithjnu #queer #supporter #spread the #word https:// twitter.com/akhilkatyal/st atus/729599936338268160 …,
CAG,@OfficeOfRG #shutdownJNU u want to rule India by supporting antinational elements that is not possible,
NAG,amitabh bachchan @srbachchan ki commentary kis channel pe aari h #indvspak,
NAG,"meanwhile, alia bhatt called salman khan nd said, ""yeh sohail khan pakistan se kyu khela ?.."" 😜😂 #indvspak",
CAG,"Want to see these Omars, Linen etc fmly how are they living in India. . #ShutDownJNU",
OAG,Can't run a den of anti-nationalists & breeding ground for closet terrorists on tax-payers' money #ShutDownJNU,
OAG,"Jawaharlal Nehru was successor of #Mugal planned Barbadi of India -todays JNU traitors want to continue same Barbadi of India. #ShutDownJNU""",
OAG,_ #ShutdownJNU movement necessary...enough is enough,
CAG,rt @imvkuhli: peelal r so joblezz dey r wotching #indvsuae lulz plzz,
CAG,ROFL! Fake degree holder #MunnaBhai #LowIQSanghi 's don't know d difference bw JU & JNU. #StandWithJU #StandWithJNU https:// twitter.com/pawansingh8611 /status/728763908190801920 …,
NAG,welcome to #adelaideoval south australia! वेलकम भारत استقبال پاکستان #indvspak #cwc15 http://t.co/lmscw3r7sd,
NAG,if india bat first semaya enjoy pani irukalam #indvsuae #cwc15,
NAG,"#indvspak #cwc15 come on india roklo #pakistan ko or apni lead ko 6-0 banado #india come on india, india.... india.... india...",
OAG,#shutdownJnu its a terrorist factory...they do everything other than studying,
NAG,@hdfclife #indvspak is it out???? :d indiaaahhhhh indiaaahhhhh indiaaahhhhh #myteammypride,
CAG,@PrakashJavdekar Pl stop funding these anti-nationals immediately! @RashtrapatiBhvn Pl intervene #ShutDownJNU immediately and save India. https:// twitter.com/yesiamsaffron/ status/786232391324934144 …,
CAG,hamari school team kam se kam 90 run banati hi thi. ;) #indvsuae,
CAG,#ShutDownJNU except times now & newsx why all other media is silent why no outrage by Pseudo-secular's on this matter its absolute SHAME!!!,
CAG,"considering that the last mallu in the indian cricket team was abey kuruvilla, are we tuning into kerala vs rest of india ;). #indvsuae",
CAG,boring match india ki batting chahiye thi.. #indvsuae,
NAG,@tweepshikha: shahid afridi is the rekha of pakistan. not aging a bit #cwc15 #indvspakhahaha!,
CAG,Used condoms....wine bottles...anti national slogans ....& nw weapons #ShutDownJNU pic.twitter.com/pBkytnwxkW,
NAG,@imro45 looks sleep deprived. too much of partying? 😜 #india #indvsuae #cwc15 #rohithsharma,
CAG,#win lowest score by any team against india in a world cup!!! #indvsuae,
NAG,@policybazaar_in kapil dev made us proud #comparekar #indvspak,
NAG,@compareraja wow i won with india... india india india india #cricketcompare #indvspak,
NAG,"yo cheer up ""kyonki pakistan kabhi india tha!"" #indvspak #cwc15 #bleedblue #bleedgreen",
NAG,msd-the legend '' @dhoni_fangirl captain interacts with media after winning #indvsuae í ½í¸âí ½í¸ http://t.co/og9orzrgzz'',
NAG,"rt ndtv ""shribhivaskar match 21. #indvsuae, ind 5/0 (1.5), r sharma 4(7) s dhawan 1(4) uae 102/10 (31.3) http://t.co/8xbtpbmnqr""",
CAG,JNU developments still front page in aunty national newspaper #StandWithJNU http:// epaper.telegraphindia.com/paper/1-0-11@0 5@2016-1001.html …,
OAG,@narendramodi @BJPRajnathSingh @Swamy39 : Please put behind these traitors before its too late. We shouldn't tolerate AntiIndia #ShutDownJNU,
CAG,next match #indvsuae. dreading the mauka ad which will taunt us about never being able to touch dawood in dubai or sharjah. #indvssa #cwc15,
CAG,rt @indy12if: hello hi bye bye uae #indvsuae 😂😂😂😂 http://t.co/skcbunnlqk,
NAG,napmindia: .NarmadaBachao activist Mansaram extends support to fasting students #StandWithJNU #FightBackJNU pic.twitter.com/bJjg4yuDCB,
OAG,Why can't Supreme Court intervene and take suo motto cognisance of the matter and initiate action against these morons? #ShutdownJNU,
OAG,"@narendramodi sir stop this madness, #JNU students are nothing but homemade #terrorist ,1 way or other they crushing #india #shutdownjnu",
CAG,These days it is easy to glorify terrorist on the pretext of free speech #ShutDownJNU,
OAG,"JNU which built on the name of biggest anti-national person of indian history,can only produce anti-national like umar khalid #shutdownjnu",
NAG,"*arving kejrival live commentating from ramlila maidan, delhi* 5 wickets le liye hai ji bharat ne.#indvspak http://t.co/wacnyekloy",
NAG,most amazing sunset with beauty of nature 2015 new...... https://t.co/xnn2mrkfny #indvsuae لون الفستان #ddftennis #thedress غير السعادة,
OAG,#shutdownJNU #farjisecularism #communist #presstitutes remains #silent http:// fb.me/tSU7G3x5,
NAG,@rukmini_shrini: dhoni is a freaking ninja. twss s = sakshi #indvspak,
CAG,"#indvsuae will last shorter than #badlapur movie, but surely is more interesting",
OAG,You can't expect better than this from a Pappu party. #ShutDownJNU https:// twitter.com/amartyatalks/s tatus/697417219538444288 …,
NAG,#cwc15: wicket for pakistan! sohail khan removes virat kohli for 107. india 273/3 in 45.2 overs. live: #indvspak,
CAG,rt @nomadic_soul_: 4 wickets gone already???? khikhikhikhi #indvsuae,
CAG,by d time i started to watch #match its all over #cwc2015 #indvsuae,
NAG,mixup misfield and a single! :d #indvsuae,
NAG,@ultratechcement #issgamekijaan #indvsuae its gonna be kohli again :),
NAG,rt @garudrr: really missing something sehwag on days like today!! would be over in 8-10 overs like what mccullum!! #indvsuae #cwc15,
NAG,rt @drupad_t: #cwc15 #bleedblue #wontgiveitback #teamindia #indvsuae #ipl surely has elevated odi excitements.,
NAG,"team india temper shown to pakistan dandayatra 😊😀😁☺ 1992,1996,1999,2003,2007,2011,2015 #indvspak #cwc2015 http://t.co/eky8paccd5",
CAG,"#ShutDownJNU Last year, I felt we are heading towards civil war in 2 yrs. Now look at Bengal,UP,TN, Kerala. Quite likely trouble next year.",
OAG,"@bhak_sala well NDA=/=JNU: JNU is being opposed 4 antinational activities, #ShutDownJNU NDA pass out will get degree from better place",
CAG,Clear intentions: throttle the govt universities and make private profiters flourish #standwithjnu https:// twitter.com/EconomicTimes/ status/743658834074296321 …,
OAG,JNU's terror babies lik Umar Khalid can't do dis alone real antinatnal forcs behind dem needs to b invstigted #ShutDownJNU #FlashpointAfzal,
CAG,#ShutDownJNU aftersome time this may be possible most of terrorist organizations declared tht if u want join us thn jnu degree is compulsory,
CAG,kal to india ka practice match hai.. #indvsuae #iccworldcup2015 let see kal kon kon century marega..!! 😂😂😜😉😁😀😀,
NAG,4 hrs remain to #indvspak esss bar phorenga kyaaaaa...... #patakhy,
CAG,now pakis supporting uae yeh log nahi sudhrenge -_- #indvsuae #cwc15,
NAG,fifty shades of sir ravindra jadeja. #indvsuae,
NAG,apny ghr ma to sb shair hoty hn india ki trhn.australia k against in ki bkri beth gai r afghanistan k against 350+ hahaha #fuck.#indvspak,
NAG,"JNU Students Move Delhi High Court, Hunger Strike Enters 16th Day http:// lsh.re/12B68 #StandWithJNU #JNU #JNUOnHungerStrike #HLEC #DHC",
CAG,After 3000 condoms now bag full of weapons found in JNU campus #ShutDownJNU pic.twitter.com/d3lk6PgW9b,
NAG,"kohli termed as :""barack"" kohli from pak team :) #indvspak",
NAG,rt @contestoday: india vs uae has began.. rt if u are supporting india!! india...india.. #indvsuae,
OAG,"@shafaq__khan sahab, nobody shouted Pakistan jindabaad or free Kashmir from India or Go back India. #ShutDownJNU . Shameless ppl",
CAG,Convert JNU into a Football field ! No? #Youth etc! ;) #SHutDownJNU https:// twitter.com/YRDeshmukh/sta tus/697494145770762241 …,
NAG,when you're up at 3 in the morning to watch india play cricket #indvsuae,
CAG,#ShutDownJNU for good. This snake pit needs to die. https:// twitter.com/funky_fungus/s tatus/795502616088223746 …,
NAG,keep calm and believe #kohli ! ! inneram payan veri yethittu iruppan! ! #indvspak,
NAG,umya is besht..best is umya!!! he he :d #umeshyadav #indvspak 2 wickets yayaya,
OAG,#ShutDownJNU @sambitswaraj @AmitShah just by saying we will clear our stand thru press conf. Will not do. u hv to take strict action.,
NAG,are wah....rohan ne review kiya.... #indvsuae,
CAG,"#NSUIAgainstIndia #ShutDownJNU Freedom of speech is crossing line, spreading hatred against ppl ! @sambitswaraj @Swamy39",
NAG,just seen on tv pakistani hulk(a-phulka) #indvspak,
NAG,#indvspak #cwc15 cuts short's adadam lo #raina ki #raina ay poti 👌,
CAG,i wonder if anybody studies @JNU. Everybody seems to be busy in protesting. #ShutdownJNU,
NAG,kejriwal declares holiday as both delhi batsmen score fifties #indvspak,
NAG,virat kohli breaks sachin tendulkar's record vs pakistan in world cups#cwc15 #cricket #bleedblue #indvspak : http://t.co/b12exrshzw via,
NAG,rt @newsmobileindia: #indvsuae: uae win the toss and elect to bat. #jeetegaindia #cricwc2015,
OAG,#ShutDownJNU please continue this trend and throw out these so called intellectuals,
NAG,"chalo lets see aapna vasai boy ""swapnil patil"" for uae #indvsuae #cwc15",
OAG,"Dear @narendramodi , this can't go on, you need to bring down state power hard on these Jihadis and Maoists in JNU #ShutDownJNU",
NAG,bhuviiiiii in :d yayyyyyyyyyyyyyyyyy :d #indvsuae #cwc15,
NAG,bc iss sohail ko out karao.. #cwc2015 #indvspak #bleedblue,
CAG,#shutdownjnu just DELETE CONGRESS from India and everything will be alright...,
CAG,#ShutDownJNU where is awardwapsee gang why are they silent now is this the idea of India they support,
CAG,uae ki match me trp k liye ladki le aaye ..star sports on a roll #indvsuae,
CAG,Why should a handful of separatists force #ShutDownJNU . It will be tantamount to complete and shameful failure of Modi Govt and #HRD . Shame,
NAG,akmal khatmaled by third umpire #indiavspakistan #indvspak,
CAG,SHAME on people Like them! #ShutDownJNU,
CAG,"The 'media indoctrination' will only place you among a lynch mob, so beware before you lose your legs to RSS and can't #StandwithJNU or JU.",
NAG,High Court stays HLEC order - BREAKING NEWS shared by Smita Gupta #FightBackJNU #StandWithJNU ... http:// fb.me/8dGVQkYAF,
NAG,"world's smallest car, maruti suzuki alto!! #indvspak",
OAG,Will vote for whichever political party ensures that JNU's VC is removed from JNU. M Jagadesh Kumar is a fascist #sanghi scum. #StandWithJNU,
NAG,@tweetfromRaghu I am sure you have been following news from #JNU In 40 minutes the students' hunger-strike enter its 14th Day #StandWithJNU,
NAG,kohli eager for his 22nd odi century #indvspak,
CAG,"#ShutDownJNU or soon hafeez sayeed massod azhar and bagdadi ,zawahiri will come for campus recruitment with visa 2 jannath",
NAG,tt india 12:44 1.#ausvnz 2.#superbudget 3.#unionbudget2015 4.#nzvaus 5.#indvsuae 6.service tax 7.starc 8.williamson 9.gaar,
CAG,Mad student got money from Pakistan for drugs ?? #shutdownjnu,
NAG,arvind kejriwal takes charge as the chief minister... #aapkacm #indvspak #indwins #pakvsind #aapkacm http://t.co/hqazjjxogl,
NAG,uae will bat first! bhuvneshwar comes in for injured mohd.shami #indvsuae #cwc15,
OAG,#pakvsind #indvspak match fix ka sbot mill gya :@ nawaz shreef sb apse ese ghtya kam ke umeed nhn thi http://t.co/0bcc2x2ecu,
CAG,dhawan doesn’t look good ( who cares? ) but his shots are real sexy !! 😍😍😘 #indvsuae #comeonindia （＾ω＾）ヽ(^。^)丿🏆🌍,
OAG,#ShutdownJNU @rajnathsingh pls shut this pak occupied delhi campus. Pls use tax payers money for some national cause.,
NAG,indvsuae is nr.7 trending hashtag in usa in last 4 hours. http://t.co/jifofyujrh #indvsuae,
CAG,@abdullah_omar What are your views on #ShutDownJNU ?,
CAG,#ShutDownJNU Country needs to close Anti Nationals incubator,
OAG,#shutdownjnu @ani @ZeeNews now it's time to ban all anti national places in india like jnu,
NAG,"market participants are confused: sala #budget2015 dekhu, market ďekhu ya match dekhu? #nifty #indvsuae",
OAG,Guys at least respect the land you stand to sought slogan against and you are not thrown out of that land #ShutDownJNU,
CAG,. @ArvindKejriwal & . @AamAadmiParty - does this come under outrage or Dharna category of you guys. Check and confirm. #JNU #ShutdownJNU https:// twitter.com/capt_ivane/sta tus/795529233762091008 …,
NAG,rt @vivekvikramvvs: #indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome... @newsologic #newsologic v,
CAG,"#ShutDownJNU if this place is educating students to become criminal and anti national, why Indians pay for it? Shut it down.",
CAG,rarely do you see that the runs required are lesser than the total overs left #indvsuae #cwc15,
NAG,hawkers lower price to celebrate kejriwal's swearing-in http://t.co/dghgxwrfj5 #indvspak #जयहिन्द #cantbeatindia,
CAG,#JNU which's supposed to be India's top notch institute for higher studies is now a breeding ground for Anti-Nationals #SHUTDOWNJNU,
OAG,Y r v enemy debating? Y r they free? #ShutDownJNU,
CAG,JNU to be renamed as RBNU (Raah Bhatkey Naujawan University) #ShutDownJNU,
NAG,#indvspak dhoni steps in. c'mon india.,
CAG,"hahaha, operator showing sachins upper cut to akhtar while he is in commentary box. ise kehte he sarvajanik gaand maarna! #indvspak",
CAG,ek aour out . lololol ... #indvsuae,
CAG,many pakistanis are supporting india today. not for india's win but they believe that the team they support will lose! #cwc15 #indvsuae,
CAG,What is going on in our beautiful country.. Tribute for a terrorist? This is beyond limit. #ShutDownJNU,
CAG,please for now #shutdownJNU what a waste of tax payers money. R they there for study or politics?every day some problems. haad hai,
NAG,dekhiye indore ke shopkeeper ka #peptalk for dhawan on anger management : http://t.co/v1ub7uwh6m #indvsuae,
NAG,"kyu?pehle se pak nefix kara lia? #indvspak #pakvsind mt""@cricketnext: saqlain mushtaq to cnn-ibn: we'll beat india if we meet them in semis",
NAG,#indvspak kya review lia pak ne 😍🙌,
OAG,We should find substitute of petrol to destroy Islamic state economicaly as soon as possible. #ShutDownJNU,
NAG,"umpires can give a batsman out twice,if drs is in their favor.that confident expression of umpires 😂☝️☝️@icc @espncricinfo #cwc15 #indvsuae",
CAG,"rt @thatreddevil: #maukepechauka!: http://t.co/zxstto1aua hahahahaahahahahaha! ""yeh hai world vs india"" #indvsuae #cwc15 @starsportsindia",
CAG,meri college ki team kam se kam 150 toh bana leti thi 50 over me.#indvsuae,
CAG,fuck! here we go....... hahahahahah #indvsuae,
OAG,@YRDeshmukh sorry I strongly disagree becoz I'm a nationalist & can't accept someone talking about destroying india #shutdownjnu,
CAG,Look at the condition of the reviews of the best authors of india !! One ishtaaar!!! #ShutDownJNU pic.twitter.com/aihKF4BQ0T,
OAG,"#ShutDownJNU Instead f fighting 4farmers&issues lik education,poverty,watercrisis,reservations.theyr concerned about terrorists human rights",
NAG,"#vishwavijeta rohit sharma departs, india 34-1 in a #worldcup2015 tie #indvspak http://t.co/djazn3kqxe",
NAG,hahahahahaha lag gaye hahahaha :d chutiye :d hahahahahahah i can't control hahahahaha #indvspak * #indwins *,
NAG,#indvspak ️bhai tu next world cup ka or wait kr 😂😂😂😂 http://t.co/yjnx041dis,
NAG,#indvspak comm india make it 6-0...jai hind jai bharat,
NAG,no. they may end up playing well. ahankaar nahi aana chahiye #kejristyle #indvsuae,
NAG,@celkonmobile #celkoncheers4india #indvsuae 103india tgt in how mnywovrs,
NAG,loving the new fevikwik ad todega nahi jodega #ad #indvspak,
NAG,ok missing tendlya ya #cwc2015 #indvspak,
NAG,angry bird saleha :p #indvspak,
NAG,misbah kapraan hai jo abhi tak century nahi lga paya haha #indwins #indvspak,
OAG,@ZeeNews @ZeeNewsHindi @dna What Govt of India should do with a Jihadi breeding center ? #ShutDownJNU,
CAG,Why #ShutdownJNU .... ?? Why not #ShutdownRssNagpurOffice ..... !!!!???? साँपो का अडडा,
NAG,kudos to @starsports for this humiliation continues http://t.co/guyz8rhmfq watch?v=ob1cux… #maukamauka now #indvssa next #indvsuae,
NAG,rt @dillidurast: pranab da at #indvspak #indwins via @tanvi_madan http://t.co/hpyghnhaxw,
CAG,Majority of Syrians believed Islam is a religion of peace Now they are resting in peace #ShutDownJNU,
OAG,Whoever supports afzal or any other terrorists and raise any anti Indian slogan should be shot to death on the spot #bloodypigs #ShutDownJNU,
CAG,blow india 29-1 sikhar dhawan flopet a loser team #indvsuae,
OAG,"#ShutDownJNU Diyar #Naxals of JNU. Pls go to Saudi, raise anti Saudi slogans, burn Saudi Flag and say u r dissident and demand fair trial.",
CAG,#ShutdownJNU Delhi police should provide police protection to VC.,
CAG,seriously #ShutDownJNU,
NAG,good to see @bhuviofficial back in squad. #indvsuae,
NAG,"virat kohli hits 100, breaks sachin tendulkar's record #indvspak",
CAG,Think JNU has separate rules for traitors. They can hang on permanently. #ShutdownJNU . https:// twitter.com/desh_bhkt/stat us/785875879498883076 …,
CAG,#ShutDownJNU trending worldwide at no.5 thanks to all,
CAG,#ShutDownJNU ......by sharing this u can save lifes n families click on this.. http:// learnhit.blogspot.in /,
NAG,we need a 10 wicket win #indvsuae,
CAG,#ShutDownJNU : Narendra Modi govt needs to crackdown on these pseudo-secular leftists who glorify terrorists! http:// fb.me/7EJEJPfkN,
NAG,1st drop of the world cup for india..!! #indvsuae,
NAG,@satishkuri afridi: abey yeh soch jeet gaye tho english kaun bolegaa?? #indvspak #cwc15,
NAG,"#indvsuae, 21st match, pool b: ind 100/1(17.5 ov) uae: 102 rohit: 53 (50) kohli*: 33 (40) ind need 3 runs. #wontgiveitback",
NAG,"imran khan, aamir sohail, wasim akram, waqar younis and shahid afridi led pakistan against india in 5 wc games #cwc15 #indvspak",
NAG,@heromanoj1 ee 2 wickets teesthe 180 ke moosestharu #indvspak,
OAG,#ShutDownJNU Thatswhy subramanian swamy demnded 4 military forces in JNU campus before VC post was offered to him.,
CAG,Sanghis are the dangerous for our secular country as well as Seperist's! @narendramodi shld take action. Bt Y #ShutdownJNU,
NAG,rt @rfact7: kohli hitting 4's no mauka for rohit! #indvsuae,
NAG,rt @abreshmina: ooooo... lbw appeal but wasn't given an out .. #indvsuae 3 overs done .. uae 12-1,
OAG,#ShutDownJNU Delhi should be seized tomorrow.. If Delhi youth had some spine,
OAG,"#ShutDownJNU - This is d time v need to show real intolerance to anti-nationals. Award wapsis, u can start ur dramas again..hell vth u",
NAG,#indvspak #bleedblue rega jha #mustwatchmsg team india #cwc2015 #kohli kohli is awesome... @newsologic #newsologic hh,
CAG,Comon Modiji don't let pride of the nationalist fall Stop acting like manmohan Let the world see what Modi is @BJPRajnathSingh #ShutDownJNU,
NAG,wow 😍 check this out 👌 https://t.co/wp95meex2s #indvsuae #uae #dubai ليث أبو جودة #laithabujoda #laithalahyesamehna,
CAG,rt @oye_bubbly_: bhaiya 100 to hone do xd #indvsuae,
NAG,pakistan me tv fodne lage log #indvspak,
NAG,"rt @elahihiba: ""@shoaibakhtarpk: we missed you bro ... #pakvsind #indvspak #pakvind #indvpak #pakvsind http://t.co/85zuati2d1"" haye esi w…",
NAG,keep calm and support team india india..india..india..india..india.. #bleedblue #wontgiveitback #indvsuae #cwc15,
CAG,"dhoni to all uae players: ""sabko batting milegi! 😂"" #wewontgiveitback #worldcup2015 #indvsuae",
NAG,3..2..1.. bang bang! goo indiaaa! #indvspak — watching pakistan vs india,
NAG,mishbah ka to lul ho gya... #indvspak #जयहिन्द,
OAG,Stope this nursery of anti-nationals #ShutDownJNU,
NAG,rt @vaibysays: india in last 3 wc games... took all 30 wickets...took 21 catches and dropped a single catch... #wewontgiveitback #indvsuae …,
NAG,#indvspak best ad from feviquik,
OAG,"Instead of Education, #JNU become a place of #PoliticalDirt #Rascals & #Traitors . Govt. must #ShutdownJNU @HRDMinistry",
CAG,losing their wickets at an average of 20 balls now. hope the #uae last for at least a half of their designated innings. #indvsuae #cwc15,
NAG,@kush_katrina #indvspak match ka wait krte hue guzra.. or aapka?? :p ;)),
NAG,Red Salute Comrade #KanhaiyaKumar #StandWithJNU #JNUonHungerStrike #NeverSettleForSomethingVictoryOrNothing https:// youtu.be/E4B--VNDqCA,
CAG,#ShutDownJNU If Yasin Malik as a separatist leader can walk freely under Modi. Why not these JNU students? #TheGreatGujaratLoot,
CAG,@starsportsindia #indwins #indvsuae lowest wc total against india and uae's lowest odi total,
NAG,ahmad shazad looks like 'gareebon ka kohli' 😜 #indvspak #cwc2015 #जयहिन्द,
NAG,yayaaaa one last... :d #indvsuae,
NAG,"ek aur udd gaya, 4 down!! #indvsuae",
NAG,Human chain in JNU today #fightBackJNu #StandwithJNU #DefeatFacism https://www. instagram.com/p/BFHJMI0N7nb/,
CAG,"q. how do the emirati babies cry? a. ""uae..uae..."" 3:) #wordplay #indvsuae #cwc2015 -mukku",
CAG,@jyotsnadevi33 @timesofindia This is the culture #JNU imparts. True to the parson after whom it's named. #ShutDownJNU .,
CAG,"Do raise #JNU episode... & as a Indian, Tax Payer I want #ShutDownJNU , cleaning required.. enough we have tolerated",
NAG,20 overs bowled so far. ashwin 5-1-9-3 yadav 5-1-7-1 mohit 5-1-15-1 bhuvi 5-0-19-1 excellent figures! #indvsuae #cwc15,
NAG,feeling sleepy.....it's 2o'clock....subah kab uthunga i'll miss #indvspak aaahhhh,
OAG,"Sir @BJPRajnathSingh ...don't waste money on Jihadis, Naxalites of JNU...its high time we need to #ShutDownJNU",
NAG,"Keep spreading the word. @the_bongrel , @dhrubo127 and others. #StandWithJNU pic.twitter.com/0irQ1Hc0rX",
OAG,"Jawaharlal Nehru directly responsible for Barbadi of India in 1962 India-China war -todays JNU traitors want Barbadi of India. #ShutDownJNU""",
NAG,Plz Sign the petition. #StandWithJNU #StandWithKanahiya https:// twitter.com/sanjivbhatt/st atus/728605816165564417 …,
CAG,When RSS said this you harshly condemned it... #ShutDownJNU http:// m.firstpost.com/india/jnu-is-h ome-to-a-huge-anti-national-block-which-aims-to-disintegrate-india-rss-mouthpiece-2492774.html …,
NAG,top ducati diavel review http://t.co/ht5aj9musn #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget,
NAG,Day 12 of JNU Hunger-strike: Salute these heroes of young India who are fighting unfazed for justice. #StandWithJNU pic.twitter.com/nzJMLBsItj,
CAG,Yes... 100 % agree.. #ShutDownJNU @PrakashJavdekar listen to 100 Cr + Indians.. Please.. @thenewshour @ZeeNews support #ShutDownJNU @NewsX https:// twitter.com/VijayWriter/st atus/786466971759939584 …,
NAG,missing shewag &amp; ghambhir #indvspak,
NAG,feb 14: love day feb 15: pakistan ke loude #indvspak,
NAG,@starsportsindia #indvspak all the very best team india.....faad do aaj unki...khelo jeejan se....god blessing u...,
CAG,#ShutDownJNU it's time we show that every freedom comes at a price.. And these guys just crossed the line.. It's time to show dem deshbhakti,
OAG,They all students are mentally sick. #ShutDownJNU,
NAG,virat kholi's innings on 15 feb is dependent on anushka's performance on 14 feb #indvspak,
NAG,rt@icecrystal1419:bowling ho ya batting hosh hamari team ko late hi ata #indvspak #cwc15... rt@taksunt:see&gt;http://t.co/dmqvfwfjph,
NAG,@archnasingh781: akhtar commentator q has rha hai? kutty ka bacha. #indvspak #cwc15hahahahahahaha,
OAG,The whole country is praying for a soldier who protects us..and these traitors in JNU screaming slogans for a terrorist..? wtf #ShutDownJNU,
CAG,#shutdownJNU IS ONLY THE OPTION https:// twitter.com/DrGarekar/stat us/794476286844358656 …,
OAG,#ShutDownJNU @rahulkanwal @sardesairajdeep @BDUTT@virsanghvi @waglenikhil media should expose these anti nationals pic.twitter.com/YBXLCJrwpe,
NAG,excellent article. More power to you all! #StandwithJNU,
NAG,ind vs wi mauka mauka latest add....lolz: http://t.co/ycigjylxuf @cricketworldcup @icclive #indvsuae #pakvszim #srlveng #slvseng #kp,
OAG,Devide and rule.the congressman r master of such arts.maybe they stand behind curtains #ShutDownJNU,
NAG,kajru is getting relief now#indvspak http://t.co/xwqi4mxpq4,
CAG,I am sure except @sudhirchaudhary @sardanarohit @RajatSharmaLive @gauravcsawant Arnab @ShivAroor all other media wud b happy #ShutDownJNU,
NAG,<Vijoo Krishnan speaking at the JNU Azadi Chowk in solidarity with students on hunger strike> #StandWithJNU ... http:// fb.me/52XBjwHqN,
NAG,hahahahajahaa amazing.. world cup #wc2015 #indvsuae,
CAG,what a thriller!! #ausvnz #cwc15 don't watch so much excitement in the #indvsuae match though! i hope it remains a walk in the park!,
